cell_id,POS,unimorph
ARGNO3.ARGNOSG.ARGAC3.ARGACPL.IND.IPFV,V,ARGNO3S;ARGAC3P;IND;IPFV
ARGNO1.ARGNOPL.ARGAC3.ARGACPL.IND.IPFV,V,ARGNO1P;ARGAC3P;IND;IPFV
ARGNO2.ARGNOPL.ARGAC3.ARGACPL.IND.IPFV,V,ARGNO2P;ARGAC3P;IND;IPFV
ARGNO3.ARGNOPL.ARGAC3.ARGACPL.IND.IPFV,V,ARGNO3P;ARGAC3P;IND;IPFV
ARGNO2.ARGNOSG.ARGAC1.ARGACSG.present-subjunctive,V,ARGNO2S;ARGAC1S;SBJV;PRS
ARGNO3.ARGNOSG.ARGAC1.ARGACSG.present-subjunctive,V,ARGNO3S;ARGAC1S;SBJV;PRS
ARGNO2.ARGNOPL.ARGAC1.ARGACSG.present-subjunctive,V,ARGNO2P;ARGAC1S;SBJV;PRS
ARGNO3.ARGNOPL.ARGAC1.ARGACSG.present-subjunctive,V,ARGNO3P;ARGAC1S;SBJV;PRS
ARGNO1.ARGNOSG.ARGAC2.ARGACSG.present-subjunctive,V,ARGNO1S;ARGAC2S;SBJV;PRS
ARGNO3.ARGNOSG.ARGAC2.ARGACSG.present-subjunctive,V,ARGNO3S;ARGAC2S;SBJV;PRS
ARGNO1.ARGNOPL.ARGAC2.ARGACSG.present-subjunctive,V,ARGNO1P;ARGAC2S;SBJV;PRS
ARGNO3.ARGNOPL.ARGAC2.ARGACSG.present-subjunctive,V,ARGNO3P;ARGAC2S;SBJV;PRS
ARGNO1.ARGNOSG.ARGAC3.ARGACSG.present-subjunctive,V,ARGNO1S;ARGAC3S;SBJV;PRS
ARGNO2.ARGNOSG.ARGAC3.ARGACSG.present-subjunctive,V,ARGNO2S;ARGAC3S;SBJV;PRS
ARGNO3.ARGNOSG.ARGAC3.ARGACSG.present-subjunctive,V,ARGNO3S;ARGAC3S;SBJV;PRS
ARGNO1.ARGNOPL.ARGAC3.ARGACSG.present-subjunctive,V,ARGNO1P;ARGAC3S;SBJV;PRS
ARGNO2.ARGNOPL.ARGAC3.ARGACSG.present-subjunctive,V,ARGNO2P;ARGAC3S;SBJV;PRS
ARGNO3.ARGNOPL.ARGAC3.ARGACSG.present-subjunctive,V,ARGNO3P;ARGAC3S;SBJV;PRS
ARGNO2.ARGNOSG.ARGAC1.ARGACPL.present-subjunctive,V,ARGNO2S;ARGAC1P;SBJV;PRS
ARGNO3.ARGNOSG.ARGAC1.ARGACPL.present-subjunctive,V,ARGNO3S;ARGAC1P;SBJV;PRS
ARGNO2.ARGNOPL.ARGAC1.ARGACPL.present-subjunctive,V,ARGNO2P;ARGAC1P;SBJV;PRS
ARGNO3.ARGNOPL.ARGAC1.ARGACPL.present-subjunctive,V,ARGNO3P;ARGAC1P;SBJV;PRS
ARGNO1.ARGNOSG.ARGAC2.ARGACPL.present-subjunctive,V,ARGNO1S;ARGAC2P;SBJV;PRS
ARGNO3.ARGNOSG.ARGAC2.ARGACPL.present-subjunctive,V,ARGNO3S;ARGAC2P;SBJV;PRS
ARGNO1.ARGNOPL.ARGAC2.ARGACPL.present-subjunctive,V,ARGNO1P;ARGAC2P;SBJV;PRS
ARGNO3.ARGNOPL.ARGAC2.ARGACPL.present-subjunctive,V,ARGNO3P;ARGAC2P;SBJV;PRS
ARGNO1.ARGNOSG.ARGAC3.ARGACPL.present-subjunctive,V,ARGNO1S;ARGAC3P;SBJV;PRS
ARGNO2.ARGNOSG.ARGAC3.ARGACPL.present-subjunctive,V,ARGNO2S;ARGAC3P;SBJV;PRS
ARGNO3.ARGNOSG.ARGAC3.ARGACPL.present-subjunctive,V,ARGNO3S;ARGAC3P;SBJV;PRS
ARGNO1.ARGNOPL.ARGAC3.ARGACPL.present-subjunctive,V,ARGNO1P;ARGAC3P;SBJV;PRS
ARGNO2.ARGNOPL.ARGAC3.ARGACPL.present-subjunctive,V,ARGNO2P;ARGAC3P;SBJV;PRS
